date,state,county,categoryid,categoryname,demo,visits,avgDuration,p50Duration
2020-02-04,Alabama,,Group,Medical,All,544918.0,88.0,46.0
2020-02-04,Alabama,,Group,Medical,Below65,489328.0,90.0,
2020-02-04,Alabama,,Group,Nightlife Spots,Above65,10046.0,78.0,
2020-02-04,Alabama,,Group,Nightlife Spots,All,131349.0,91.0,34.0
2020-02-04,Alabama,,Group,Nightlife Spots,Below65,121303.0,92.0,
2020-02-04,Alabama,,Group,Office,Above65,9150.0,94.0,
2020-02-04,Alabama,,Group,Office,All,160287.0,128.0,46.0
2020-02-04,Alabama,,Group,Office,Below65,151137.0,130.0,
2020-02-04,Alabama,,Group,Outdoors & Recreation,Above65,34651.0,66.0,
2020-02-04,Alabama,,Group,Outdoors & Recreation,All,396751.0,88.0,29.0
2020-02-04,Alabama,,Group,Outdoors & Recreation,Below65,362100.0,90.0,
2020-02-04,Alabama,,Group,Professional & Other Places,Above65,34372.0,78.0,
2020-02-04,Alabama,,Group,Professional & Other Places,All,525863.0,101.0,27.0
2020-02-04,Alabama,,Group,Professional & Other Places,Below65,491491.0,102.0,
2020-02-04,Alabama,,Group,Residences,Above65,14619.0,95.0,
2020-02-04,Alabama,,Group,Residences,All,148439.0,115.0,32.0
2020-02-04,Alabama,,Group,Residences,Below65,133820.0,117.0,
2020-02-04,Alabama,,Group,School,Above65,20791.0,69.0,
2020-02-04,Alabama,,Group,School,All,474928.0,109.0,26.0
2020-02-04,Alabama,,Group,School,Below65,454137.0,111.0,
2020-02-04,Alabama,,Group,Shops & Services,Above65,119792.0,41.0,
2020-02-04,Alabama,,Group,Shops & Services,All,1168048.0,49.0,18.0
2020-02-04,Alabama,,Group,Shops & Services,Below65,1048256.0,50.0,
2020-02-04,Alabama,,Group,Spiritual Center,Above65,21457.0,78.0,
2020-02-04,Alabama,,Group,Spiritual Center,All,249681.0,83.0,25.0
2020-02-04,Alabama,,Group,Spiritual Center,Below65,228225.0,84.0,
2020-02-04,Alabama,,Group,Sports,Above65,14558.0,112.0,
2020-02-04,Alabama,,Group,Sports,All,112111.0,98.0,39.0
2020-02-04,Alabama,,Group,Sports,Below65,97552.0,96.0,
2020-02-04,Alabama,,Group,Travel & Transport,Above65,16457.0,69.0,
2020-02-04,Alabama,,Group,Travel & Transport,All,188142.0,81.0,18.0
2020-02-04,Alabama,,Group,Travel & Transport,Below65,171686.0,82.0,
2020-02-05,Alabama,,Group,Airport,Above65,2182.0,134.0,
2020-02-05,Alabama,,Group,Airport,All,49686.0,106.0,50.0
2020-02-05,Alabama,,Group,Airport,Below65,47504.0,104.0,
2020-02-05,Alabama,,Group,Alcohol,Above65,2208.0,59.0,
2020-02-05,Alabama,,Group,Alcohol,All,24077.0,50.0,14.0
2020-02-05,Alabama,,Group,Alcohol,Below65,21869.0,49.0,
2020-02-05,Alabama,,Group,Arts & Entertainment,Above65,11258.0,70.0,
2020-02-05,Alabama,,Group,Arts & Entertainment,All,168559.0,84.0,36.0
2020-02-05,Alabama,,Group,Arts & Entertainment,Below65,157301.0,85.0,
2020-02-05,Alabama,,Group,Banks,Above65,8379.0,25.0,
2020-02-05,Alabama,,Group,Banks,All,94494.0,44.0,9.0
2020-02-05,Alabama,,Group,Banks,Below65,86116.0,46.0,
2020-02-05,Alabama,,Group,Big Box Stores,Above65,27367.0,36.0,
2020-02-05,Alabama,,Group,Big Box Stores,All,377470.0,37.0,20.0
2020-02-05,Alabama,,Group,Big Box Stores,Below65,350103.0,37.0,
2020-02-05,Alabama,,Group,Colleges & Universities,Above65,7688.0,90.0,
2020-02-05,Alabama,,Group,Colleges & Universities,All,532610.0,118.0,64.0
2020-02-05,Alabama,,Group,Colleges & Universities,Below65,524922.0,118.0,
2020-02-05,Alabama,,Group,Convenience Store,Above65,9657.0,24.0,
2020-02-05,Alabama,,Group,Convenience Store,All,139644.0,38.0,8.0
2020-02-05,Alabama,,Group,Convenience Store,Below65,129987.0,39.0,
2020-02-05,Alabama,,Group,Discount Stores,Above65,15677.0,34.0,
2020-02-05,Alabama,,Group,Discount Stores,All,239108.0,37.0,11.0
2020-02-05,Alabama,,Group,Discount Stores,Below65,223431.0,37.0,
